date,Unknown
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,0
02/24/2020,0
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,0
03/10/2020,0
03/11/2020,0
03/12/2020,0
03/13/2020,0
03/14/2020,0
03/15/2020,0
03/16/2020,0
03/17/2020,0
03/18/2020,0
03/19/2020,0
03/20/2020,0
03/21/2020,0
03/22/2020,0
03/23/2020,0
03/24/2020,0
03/25/2020,0
03/26/2020,0
03/27/2020,0
03/28/2020,2
03/29/2020,2
03/30/2020,2
03/31/2020,2
04/01/2020,6
04/02/2020,8
04/03/2020,8
04/04/2020,8
04/05/2020,8
04/06/2020,8
04/07/2020,8
04/08/2020,11
04/09/2020,11
04/10/2020,11
04/11/2020,11
04/12/2020,11
04/13/2020,11
04/14/2020,13
04/15/2020,13
04/16/2020,13
04/17/2020,14
04/18/2020,14
04/19/2020,14
04/20/2020,14
04/21/2020,14
04/22/2020,14
04/23/2020,14
04/24/2020,14
04/25/2020,14
04/26/2020,14
04/27/2020,14
04/28/2020,14
04/29/2020,14
04/30/2020,14
05/01/2020,14
05/02/2020,14
05/03/2020,14
05/04/2020,14
05/05/2020,14
05/06/2020,15
05/07/2020,15
05/08/2020,15
05/09/2020,16
05/10/2020,16
05/11/2020,19
05/12/2020,19
05/13/2020,19
05/14/2020,19
05/15/2020,19
05/16/2020,21
05/17/2020,21
05/18/2020,21
05/19/2020,21
05/20/2020,21
05/21/2020,22
05/22/2020,22
05/23/2020,22
05/24/2020,22
05/25/2020,22
05/26/2020,22
05/27/2020,22
05/28/2020,22
05/29/2020,22
05/30/2020,22
05/31/2020,22
06/01/2020,22
06/02/2020,23
06/03/2020,24
06/04/2020,26
06/05/2020,26
06/06/2020,26
06/07/2020,27
06/08/2020,28
06/09/2020,30
06/10/2020,30
06/11/2020,30
06/12/2020,30
06/13/2020,30
06/14/2020,30
06/15/2020,30
06/16/2020,30
06/17/2020,30
06/18/2020,30
06/19/2020,30
06/20/2020,30
06/21/2020,30
06/22/2020,30
06/23/2020,30
06/24/2020,30
06/25/2020,30
06/26/2020,30
06/27/2020,30
06/28/2020,30
06/29/2020,30
06/30/2020,30
07/01/2020,30
07/02/2020,30
07/03/2020,31
07/04/2020,31
07/05/2020,31
07/06/2020,31
07/07/2020,31
07/08/2020,31
07/09/2020,0
07/10/2020,0
